date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,a2c_mean,a2c_sd
2020-11-27,1078105.458931682,1084025.960068333,1118489.4578426676,1103519.323376217,1095854.6080628666,1095998.9616563532,14324.310132419776
2020-11-30,1079558.214226561,1085352.2022216246,1119710.599521319,1104491.0827037222,1097231.673510573,1097268.7544367597,14222.990280692155
2020-12-01,1075762.116650631,1081613.9952926787,1115947.276450274,1101027.8844883228,1093274.975958462,1093525.2497680737,14258.375269210565
2020-12-02,1080090.0015747184,1086084.4733547228,1119768.1725886394,1104935.7668208412,1098375.5180728852,1097850.7864823616,14033.785722488481
2020-12-03,1079703.2918911355,1085859.6159716789,1119709.7134902014,1104495.891748471,1097458.1210694355,1097445.3268341844,14102.638353028828
2020-12-04,1084337.1083519112,1090211.5371349745,1124498.9489038982,1109104.1618069436,1102256.5173840923,1102081.6547163639,14196.125376711
2020-12-07,1082000.9473936276,1087962.4404372624,1122130.4581684056,1106368.288676437,1100139.9928494175,1099720.4255050297,14133.717153460375
2020-12-08,1086628.9932665888,1092312.0031313102,1127314.3981428714,1111127.5290782684,1104912.1977079066,1104459.0242653892,14370.12571648446
2020-12-09,1088351.7349917486,1094172.6437751453,1129425.3393164717,1113078.5982006714,1106986.822925341,1106403.0278418758,14493.87698256618
2020-12-10,1081335.5869544484,1086879.872331855,1122803.6511145495,1106324.914126084,1100384.5970872992,1099545.7243228473,14694.387977626771
2020-12-11,1082549.605727708,1088290.3572520446,1124512.1349979108,1107707.3915002453,1101666.0813536153,1100945.1141663047,14833.679668761622
2020-12-14,1083805.30128783,1089513.0651657954,1125816.6626430484,1108785.7523568687,1102997.2459921974,1102183.605489148,14839.652300324056
2020-12-15,1080995.5600173722,1086906.5397587137,1122803.2873801282,1105736.9340042374,1100208.6446304815,1099330.1931581865,14719.443561549888
2020-12-16,1087210.8968181566,1093119.3675732794,1128646.2713856555,1112356.3900419376,1106661.4891796983,1105598.8829997457,14641.253264824283
2020-12-17,1088268.543590777,1094312.403347473,1129787.8740537516,1113816.8936823544,1107906.9499874846,1106818.5329323683,14685.07894558709
2020-12-18,1091467.2033629331,1097686.940854096,1133561.648309995,1117107.9032811834,1111174.647667202,1110199.668695082,14845.403302457202
2020-12-21,1088681.0341916692,1095178.0452741436,1131136.316688822,1114760.6896509023,1108690.524305652,1107689.3220222378,14957.374483270823
2020-12-22,1088050.2442460717,1094066.0927044635,1130425.8359042287,1113805.843066823,1107987.691126804,1106867.141409678,14982.361399071924
2020-12-23,1086423.1060753632,1092423.7942650688,1128847.1745571303,1112124.2893632497,1106138.4217448526,1105191.357201133,14992.118516347873
2020-12-24,1086994.1342020982,1092833.7510813496,1129325.1179413234,1112397.3213395325,1106879.5521229643,1105685.9753374537,14965.5634515188
2020-12-28,1089079.0477573732,1094923.0458450252,1131602.9984607934,1114638.9162834042,1108972.3779679926,1107843.2772629177,15040.004111225413
2020-12-29,1089935.163939409,1095722.0517123365,1132602.97122329,1115542.228837388,1110269.4586675984,1108814.3748760044,15107.032371387439
2020-12-30,1090607.9624048918,1096403.4638971535,1133219.5112791178,1116149.696708731,1110876.8510085202,1109451.4970596828,15080.755816934441
2020-12-31,1093557.4308497508,1098508.2256916987,1136208.92925899,1118956.7565274884,1113831.6675208516,1112212.601969756,15229.931424774206
2021-01-05,1000284.448823748,1001466.1114115184,1001235.8322269848,1001672.4006046908,1001838.2192236568,1001299.4024581198,546.1529187916899
2021-01-06,1001315.9828367352,1002597.6658358284,1002423.7439584768,1002756.7835460074,1003123.5059933652,1002443.5364340825,609.2630112101583
2021-01-07,994172.2219562638,996771.1824146624,995485.3327351182,995859.3910959688,995473.7241603892,995552.3704724805,836.0925117597855
2021-01-08,994806.0342137323,995612.4391864152,994847.9262418684,996086.134805406,994398.1491555236,995150.1367205891,610.743643663447
2021-01-11,988727.6156588768,989016.6749001476,988550.6277215315,987240.2768384164,987757.7397583516,988258.5869754648,658.449158991339
2021-01-12,986053.5224901964,986468.6520018498,986137.9068861614,984586.3235744511,985202.4819252972,985689.7773755912,692.07563130055
2021-01-13,987990.3835913758,988066.9447747387,987963.2961268548,986256.2648147813,987037.5950950566,987462.8968805615,711.3871020983365
2021-01-14,989964.9391623694,988847.4743328884,989582.4006473152,986904.8280616952,988479.0808425136,988755.7446093563,1063.6127980236838
2021-01-15,987419.482003305,987170.9558550512,987271.6713338768,984347.9896953468,985777.5354094076,986397.5268593974,1182.514716578623
2021-01-19,983800.5170566752,983762.5524935172,983892.7594184396,980542.8651570176,982084.1012810592,982816.5590813417,1321.1708814059073
