date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ddpg_mean,ddpg_sd
2019-07-09,1026202.4673464176,1001925.9195672878,1022356.1043448084,1020961.0729665952,1012432.087632541,1016775.53037153,8682.224936952323
2019-07-10,1026253.5159534842,1003380.7882852944,1022938.7337424952,1022063.1930217816,1013525.0006768376,1017632.2463359786,8271.540490387706
2019-07-11,1027190.9756817452,1010285.9857459052,1027156.206900097,1026518.0562759128,1017942.6494564425,1021818.7748120206,6744.798605919152
2019-07-12,1020647.701751712,1005118.0492479604,1019886.1235574211,1019546.420085822,1011553.3095985802,1015350.3208482992,6088.672696025819
2019-07-15,1023946.1649175636,1008798.2367306778,1023037.3857264232,1023228.3364822596,1014993.9676961696,1018800.8183106187,5976.115162855724
2019-07-16,1025579.8575978016,1008898.892904924,1024808.1776128864,1024137.336724602,1016814.3015272436,1020047.7132734915,6399.106322837277
2019-07-17,1022046.8250600382,1005607.6832651686,1020793.4525418944,1019747.8438456404,1011601.0961210888,1015959.380166766,6339.242331195464
2019-07-18,1029564.7815641108,1012134.9025613152,1028561.6766381316,1027059.4403495071,1017959.79023019,1023056.118268651,6840.2627221219345
2019-07-19,1032793.7147641332,1019581.003500655,1035589.3132476796,1032630.5649409696,1022267.130223078,1028572.3453353031,6389.474321174243
2019-07-22,1028333.0066874836,1011629.1368386112,1028128.5120814368,1024642.8749819882,1014887.870395056,1021524.2801969151,6952.06538779643
2019-07-23,1028453.2789144248,1012060.7668220276,1028817.6865266822,1024760.688668648,1015305.978117952,1021879.6798099469,6917.701361455815
2019-07-24,1025331.9603716292,1010525.6717570784,1025795.6685177236,1021268.0040270644,1011648.6768303995,1018913.996300779,6591.477578642401
2019-07-25,1027710.0411033112,1012418.1370636568,1028995.7180917538,1023156.8858232498,1014263.3911118914,1021308.8346387728,6814.127860033988
2019-07-26,1023701.3816292064,1007360.8951201732,1023962.1505664968,1019446.5828061008,1010029.9923786714,1016900.2005001297,6939.875692009922
2019-07-29,1025030.44679967,1009865.9928165072,1026105.0779833868,1021579.4714240272,1012643.6207845748,1019044.9219616333,6592.80894044767
2019-07-30,1025206.3298512164,1010840.6155520908,1027494.1978877092,1022128.4647788564,1013072.2495929552,1019748.3715325657,6623.755725469318
2019-07-31,1026378.1288769696,1011633.1922575586,1028615.7150355052,1022107.0783701908,1013748.8047157924,1020496.5838512033,6740.901860675431
2019-08-01,1025281.873592052,1007797.3031164292,1023275.8180008543,1021313.2959285198,1007320.6598858964,1016997.7901047503,7809.725655856997
2019-08-02,1037414.5192054892,1020744.8146160016,1030378.8595571094,1031678.216669273,1021293.0078470068,1028301.883578976,6402.92453101415
2019-08-05,1037630.4956691454,1020194.720398989,1031548.0275312052,1034833.3420906484,1018857.6017168784,1028612.8374813732,7676.685449433865
2019-08-06,1043126.8402314378,1018945.3338454032,1035394.7752461694,1038651.3062559188,1024402.266896643,1032104.1044951144,9029.580448794735
2019-08-07,1048761.272206155,1024061.178930908,1039971.7534969548,1043788.992891768,1029385.5472488484,1037193.7489549269,9148.273665651188
2019-08-08,1053875.490555275,1028561.148012674,1045237.554715566,1048128.6513461038,1034540.2902004806,1042068.6269660199,9222.753043585046
2019-08-09,1059673.6469840482,1035538.7315967992,1048656.9319706073,1051155.7794209777,1039553.9905865378,1046915.816111794,8572.112329965415
2019-08-12,1058211.846971033,1033145.3112518112,1047137.4114101012,1049264.1185125874,1038072.0426596436,1045166.1461610354,8782.896448251127
