date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-09-22,1298.5571705663692,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-23,641.6993946538524,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-24,4.38745115097197,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-25,4.313886288876398,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-28,622.7932248199144,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-29,623.2028200457063,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-30,1516.4763729498695,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-01,1063.2765406732076,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-02,1195.6241540591266,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-05,624.8507664088643,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-06,621.5805368002835,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-07,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-08,1230.3739792115182,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-09,1226.4301061770468,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-12,978.349938962623,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-13,988.0911326869618,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-14,995.1897421346177,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-15,986.7168374735925,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-16,0.00031733149520924147,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-19,624.1043453545169,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-20,0.035210623203570615,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-21,0.03492141406206855,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-22,1050.7743698894456,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-23,512.649705909034,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-26,800.558434024842,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-27,618.1498011767427,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-28,1223.8246964849097,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-29,841.8802616817934,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-10-30,1169.9750708790184,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-02,962.2071133113543,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-03,795.2332474786464,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-04,528.9785911630811,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-05,612.5119132099172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-06,978.7919047188961,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-09,626.5604221007375,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-10,531.4971947442882,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-11,524.1910309323316,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-12,627.3967656793944,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-13,66.74631623722496,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-16,1178.2368803519978,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-17,1040.5674775484347,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-18,750.5998202086355,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-19,1238.2215858059876,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-20,616.1137996850039,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-23,1494.3717358057,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-24,1234.3296904654817,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-25,1181.304419645041,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-27,1041.3109315338857,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-11-30,609.537355505785,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-01,961.9859969964431,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-02,776.0954386864817,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-03,782.1502451364646,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-04,1222.9806700774311,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-07,609.7002628166824,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-08,614.0842750190584,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-09,617.4785469770504,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-10,618.7394410095956,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-11,1046.666005011834,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-14,461.3117976400436,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-15,461.79150069313386,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-16,785.5341696244709,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-17,791.9333552533798,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-18,527.031007225209,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-21,1239.5757238564315,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-22,664.3202191755357,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-23,616.6387298303314,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-24,0.34174900945581427,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-28,615.4391704686745,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-29,599.9987716757147,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-30,39.50582275061061,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-12-31,617.8289802523308,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
