date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ppo_mean,ppo_sd
2019-07-23,994269.4878182086,1011077.4173043604,992163.8866709868,1004878.378991526,1006387.4779709876,1001755.329751214,7295.822912366668
2019-07-24,993265.8824142356,1008007.420571674,991275.90993344,1002087.1520186207,1003491.4539628512,999625.5637801643,6347.00422671889
2019-07-25,995352.1865137088,1009826.8504540144,993900.5859767456,1004258.3478905432,1006319.3837199432,1001931.470910991,6241.590333124083
2019-07-26,991520.8688913846,1005608.1341159146,988530.442705748,998518.6033678956,1001230.5500551616,997081.719827221,6261.3827663063885
2019-07-29,992665.3985850554,1006800.9113880272,990135.501879775,1000057.7879528688,1002293.9770810524,998390.7153773557,6159.119776401884
2019-07-30,993946.5382360932,1007221.6620995976,990080.372784762,1000956.3495530232,1001510.0493821524,998742.9944111255,6041.363178107035
2019-07-31,993181.256688262,1008111.155845099,990067.514900394,1001996.573277676,1001426.1728922972,998956.5347207456,6504.099396158655
2019-08-01,988174.935691694,1006124.574620611,987368.2270789248,998624.0043392668,996601.31888137,995378.6121223733,6979.434291340937
2019-08-02,995236.7160540066,1020235.5227500928,999346.339870728,1005555.4734829576,1006827.107928958,1005440.2320173485,8509.813073914655
2019-08-05,996488.9322527616,1022298.675455929,1001955.374082805,1005224.0770085352,1009835.2199164684,1007160.4557432998,8729.764152093449
2019-08-06,991705.8130793056,1026976.8953536608,1001341.8232819592,1005037.9553618644,1004460.4074975108,1005904.5789148603,11569.813116733783
2019-08-07,996186.1477484312,1033077.3055487396,1004042.5213273368,1009794.3117906027,1009983.271420902,1010616.7115672024,12304.609049072104
2019-08-08,999136.432359508,1038714.1267377746,1007749.481180142,1014040.9305362236,1012060.8350526948,1014340.3611732686,13220.934129568703
2019-08-09,1004872.9665501126,1044455.1861085988,1011083.6038862997,1017410.0721656838,1015268.9105170924,1018618.1478455575,13608.297066533973
2019-08-12,1002402.5360561708,1041929.8315186992,1008973.9049601746,1015280.358597638,1013864.2137461568,1016490.1689757679,13494.379113887324
2019-08-13,1003835.8595316398,1045306.0529125382,1015762.263377568,1019186.5188184528,1013642.1848902731,1019546.5759060944,13854.167317682384
2019-08-14,1002062.0509238046,1039978.65526764,1011420.9823760582,1013921.8960175052,1011359.8433965644,1015748.6855963145,12772.967627879385
2019-08-15,1003652.1974299751,1046220.819149288,1013763.8359367125,1020832.580162377,1016677.2500747554,1020229.3365506217,14178.45286678106
2019-08-16,1006087.170778407,1050755.0901122044,1017436.8817292256,1024722.4864318311,1020972.857468668,1023994.8973040672,14761.194175485649
2019-08-19,1006558.0406511724,1053066.8293853088,1018090.4808453624,1021582.6403117398,1020871.4483908678,1024033.8879168903,15489.678202975729
2019-08-20,1002836.4594590268,1053549.1504346316,1012639.6158659424,1015939.7236200674,1018135.6596835102,1020620.1218126357,17276.26537867866
2019-08-21,1004276.198986294,1057368.7163507664,1016489.8420880956,1017587.6447373504,1020301.8285749498,1023204.8461474912,17947.342158913692
2019-08-22,1002340.8160648989,1054583.484154184,1013154.2001674213,1015206.3624392792,1018730.9002359564,1020803.1526123481,17754.399080369996
2019-08-23,1001487.55019987,1051327.341926561,1010907.4667874352,1012819.4698007724,1016931.0720856744,1018694.5801600628,17083.58883666091
2019-08-26,1003665.328226332,1047915.7592600182,1011201.799330738,1020444.8550255584,1021745.2744667726,1020994.603261884,14978.765988884037
2019-08-27,1002556.0167034104,1049821.1077544244,1009997.0036947927,1018463.4168319812,1020875.0088462192,1020342.5107661657,16100.876474423274
2019-08-28,1006266.5771461908,1053555.770011662,1015980.4619814534,1024203.7048095112,1028129.1910521248,1025627.1410001885,15850.454834780441
2019-08-29,1005597.6072703332,1052459.156442162,1015022.986977315,1022669.5212848752,1027812.7603451536,1024712.4064639679,15766.598279890726
2019-08-30,1005834.7983786104,1053131.76776615,1011983.148541351,1019917.778003202,1027676.0527813436,1023708.7090941314,16448.6644480883
2019-09-03,1005044.5019804904,1052438.592698045,1011657.4634461934,1019723.8296754916,1027415.1379085112,1023255.9051417463,16416.96124246474
2019-09-04,1006188.527061637,1053234.6150609185,1013317.6824153452,1021348.3055267996,1028106.9360375328,1024439.2132204466,16179.969474038295
2019-09-05,1008838.0689797428,1055592.4115927008,1014978.3949687436,1024818.4678346394,1030812.7603248672,1027008.0207401387,16193.805166300732
2019-09-06,1003884.1305254218,1050410.6228519306,1008914.5550124756,1015236.0458757868,1023339.8695787714,1020357.0447688773,16374.534525300742
2019-09-09,1003402.9618022334,1048515.790946738,1010091.0645007306,1014751.4371181309,1022955.4797415836,1019943.3468218833,15640.110216362045
2019-09-10,998155.0494767242,1041984.5149151764,1003861.2173634358,1011394.8303173216,1019560.6468225652,1014991.2517790447,15295.654593300944
2019-09-11,993079.851471282,1037527.9922137028,995830.8040178416,1001322.3351254656,1015085.236851026,1008569.2439358637,16344.871264484265
2019-09-12,993881.9443963972,1037340.718966381,996104.098723864,1002195.7585497492,1014842.2238959508,1008872.9489064685,15990.026881470561
2019-09-13,993791.52848408,1034789.2601286,993969.009069401,1000729.5348821438,1012917.2564057356,1007239.317793992,15430.876281326928
2019-09-16,984726.3356069074,1027332.957291029,985680.1454224248,996466.0974744684,1004367.0120187012,999714.5095627062,15598.623980796852
2019-09-17,987087.4579433524,1028503.7436009682,988930.7326127992,999650.3912257812,1009801.2360032756,1002794.7122772355,15224.061166771777
2019-09-18,987831.889087696,1030150.469533892,990452.4611970988,1001134.084564678,1010830.1199550688,1004079.8048676867,15385.856107023776
2019-09-19,985473.4274708268,1030157.8064294286,988355.8343471038,998469.781727062,1009137.3345315972,1002318.8369012037,16217.574536690352
2019-09-20,987744.1645701106,1031774.5489280296,989197.252867496,998694.3870509968,1011242.552715269,1003730.5812263803,16340.380917030063
2019-09-23,992546.8724682132,1038085.8696818803,993890.6748368972,1003488.1442812964,1016373.6743958396,1008877.0471328252,16909.529669005417
2019-09-24,992850.8311213466,1037909.505890813,994407.6334381616,1004309.5235844114,1017116.0836822408,1009318.7155433947,16714.39998056526
2019-09-25,994822.83731471,1039581.91855155,993790.1782037372,1008636.309903916,1020763.0855738532,1011518.8659095534,17171.857141993245
2019-09-26,983322.673249637,1033777.5967934842,987422.1927615716,1002123.1942133288,1011187.0358317852,1003566.5385699613,18129.07744548892
2019-09-27,982731.3179455108,1033394.819306846,987564.2062058564,1001436.2612609358,1010118.480283358,1003049.0170005014,18033.492562640367
2019-09-30,979518.1718691852,1030804.8300345624,985123.8562495842,998364.2981090124,1007656.397385434,1000293.5107295557,18169.24703326799
2019-10-01,979049.2946990556,1027810.201824965,984652.3230496838,995923.507937972,1005970.179739294,998681.101450194,17271.09685371154
2019-10-02,977423.7705539528,1026514.7375619828,983864.8592468988,996956.3939677898,1004623.0887185256,997876.5700098298,17211.344650936935
2019-10-03,974444.82337581,1027163.4758396688,981999.2034961424,991620.8011278036,1006366.95292252,996319.0513523889,18750.74556002913
2019-10-04,979540.8127150364,1032056.4372578256,986887.569898493,997346.204150334,1010471.6736513656,1001260.5395346109,18584.31122788173
2019-10-07,981962.2366628496,1035552.570159136,990964.7453583628,1000322.2407734684,1014446.648615463,1004649.688313856,18823.886239675714
2019-10-08,977075.4981972435,1030333.2410723128,986348.0692311834,994654.2371408622,1008067.6807330336,999295.7452749271,18564.47300593018
2019-10-09,972888.8721846098,1031282.7763732388,984678.3983764232,991331.9855772608,1008761.3873960644,997788.6839815194,20375.59135741031
2019-10-10,972469.63015948,1032714.6303069206,984748.191550328,990877.9115471272,1007418.6259849808,997645.7979097674,20839.016927382036
2019-10-11,966263.9557297064,1029717.3917198684,980192.0552940702,983235.0439451165,1000749.6310296652,992031.6155436853,21807.10283874092
2019-10-14,965413.9606559924,1026549.6670930772,977357.7122227076,981061.5080355651,999958.7714867626,990068.3238988209,21350.547359877266
2019-10-15,965949.5062058792,1027299.9086662652,979219.2773153534,981737.8753471548,1000742.4643229428,990989.806371519,21282.378063080152
2019-10-16,960210.4011620572,1026059.3819801388,976647.797035512,981615.3269489622,997103.8412647347,988327.349678281,22238.520900067164
2019-10-17,959757.0815728812,1027021.3863558596,976958.6733198832,981819.755984752,997607.446319181,988632.8687105114,22674.821966716485
2019-10-18,960354.617260304,1027717.2993335,976700.5045675524,981748.300318337,997747.9218699284,988853.7286699243,22802.94330423904
2019-10-21,958785.2888826814,1026421.3969600854,976274.1130735878,980283.4953939018,996851.799570581,987723.2187761676,22824.176979633605
2019-10-22,955841.1475142278,1023808.574684202,974610.8493740632,978502.0106079952,995840.6402904554,985720.6444941886,22897.271905820307
2019-10-23,955113.6144738152,1025414.8701562842,975149.4514199068,980116.9381979397,996059.7689637464,986370.9286423385,23496.198127697615
2019-10-24,955807.3770073908,1025751.587786714,975162.2301499929,979570.1559264004,996366.3775865152,986531.5456914026,23480.342608348565
2019-10-25,956748.465592809,1027655.021072068,975737.445260942,980741.4838164416,998337.397673958,987843.9626832437,23912.237274641717
2019-10-28,956813.747922854,1028002.898031125,973804.9314018674,980837.342923263,997143.3707770108,987320.458211224,24111.864889986937
2019-10-29,955374.3458808288,1025173.9216433204,970974.5423437912,975999.2823558308,993314.503127415,984167.3190702371,23811.82024697152
2019-10-30,954142.452448535,1023988.1159343632,970470.8797138338,974827.4144320716,992929.8076736748,983271.7340404957,23810.86135374588
2019-10-31,958479.415197883,1028717.8301704808,972769.99697262,980781.1277979872,997355.2370652877,987620.7214408517,24084.322404230825
2019-11-01,961174.068896241,1034407.02252735,977215.3566609676,987857.332348882,1001407.535934429,992412.2632735738,24787.064728615063
2019-11-04,961918.0560287384,1034054.9864956484,976536.0962559351,987806.5925415824,1000826.712017222,992228.4886678252,24527.17691474359
