Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2023-05-05,916213.954339884,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-08,918740.652820012,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-09,916500.1485494495,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-10,915468.252757693,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-11,919427.0465394328,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-12,918876.8003717625,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-15,915636.5591913179,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-16,916469.2485931964,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-17,912913.1037276802,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-18,914830.1850545686,1.24%,7.56%,-0.23,-0.1693277893517734
