date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,sac_mean,sac_sd
2021-01-19,984274.765117342,984453.6216193947,982908.1946994253,984417.0553614004,984402.1243496152,984091.1522294355,594.542308002433
2021-01-20,988101.104750197,988281.6973154698,986724.8288727225,988230.1826105452,988224.9892951288,987912.5605688127,596.8270936185396
2021-01-21,994904.2470469048,995090.7825054126,993505.2449416288,995008.8648325206,995021.3861574376,994706.1050967807,603.3850608254138
2021-01-22,993676.692556257,993879.388510117,992280.1891034666,993788.9364384976,993803.357585659,993485.7128387995,606.2316388542887
2021-01-25,991341.3700110216,991543.0054331354,989955.5725977492,991464.076867724,991471.4326112017,991155.0915041663,603.2522119561345
2021-01-26,994788.1523137118,994971.478655814,993389.652157362,994896.4089263504,994902.0598642612,994589.5503835,602.8087633489891
2021-01-27,993988.9065059389,994172.4372397092,992589.157654354,994100.076137314,994102.3388898307,993790.5832854293,603.5802301998586
2021-01-28,987181.2439566108,987326.7997462,985817.938055802,987306.6405187564,987294.5711448664,986985.4386844471,585.9450986949763
2021-01-29,987852.9493971736,988026.8696131204,986486.4854154364,987983.290906172,987978.4050903644,987665.6000844535,592.4021049824572
2021-02-01,981647.718817328,981803.4138524812,980315.400670008,981792.6638183756,981782.775493605,981468.3945303594,579.2712575816907
2021-02-02,986621.267735354,986801.7018793076,985276.370776576,986755.518903854,986762.1573129433,986443.403321607,586.6854030847577
2021-02-03,985625.7265387228,985858.3508433016,984274.3167998284,985780.2540748306,985786.3481847292,985464.9992882826,600.1556759492006
2021-02-04,983734.7185304856,983988.4432380362,982388.3602260748,983900.3396202568,983908.4973529676,983584.0717935642,603.5253331671312
2021-02-05,980265.0118579252,980571.9784865732,978923.0485112404,980462.6536812704,980462.6632935294,980137.0711661078,615.0412038501115
2021-02-08,981619.9894445213,981941.310980484,980275.3346183706,981813.43501365,981825.2240261808,981495.0588166412,618.5221489608568
2021-02-09,986249.3052280112,986564.9640337912,984890.173088047,986424.4765530569,986445.440743398,986114.8719292609,620.5921736535302
2021-02-10,988128.4426706472,988429.3348267464,986755.1951915048,988292.1269950552,988311.3443539322,987983.2888075771,621.4888723955752
2021-02-11,989986.5361307062,990270.9385679225,988610.5502521944,990139.9841649216,990160.150284418,989833.6318800326,618.2251221620938
2021-02-12,987311.0905042152,987618.8122614516,985940.3340798644,987481.3698443382,987497.5704348627,987169.8354249464,622.5223989362089
2021-02-16,984819.3164301338,985167.894689368,983459.7577347604,985008.2656131544,985029.7900180172,984697.0048970869,628.5072821145604
2021-02-17,976994.9404165532,977398.574428038,975746.0418196744,977226.9339257953,977246.9839663312,976922.6949112784,602.3151989890608
2021-02-18,976101.7208718,976501.8692392388,974844.9831294782,976339.4394771444,976348.1904968136,976027.240642895,604.8188750084786
2021-02-19,974904.7337821076,975305.04491986,973641.229729986,975148.102056652,975154.6532533616,974830.7527483932,608.4428303720327
2021-02-22,973164.3943533702,973581.5116265469,971908.122141038,973414.6732802796,973426.8123259332,973099.1027454336,610.3104872611592
2021-02-23,973745.1261090408,974145.5178901772,972483.2372518552,973983.5205086578,974004.461033238,973672.3725585938,608.3252688249338
2021-02-24,972632.1220719566,973045.2541302966,971312.921970198,972878.125410668,972899.8067830824,972553.6460732404,634.404814209846
2021-02-25,972288.9486257304,972745.6159051616,970943.7187723404,972548.2632730348,972580.26616395,972221.3625480434,655.3562340361202
2021-02-26,959949.1205887108,960411.7195300064,958593.3235117756,960251.8408480792,960264.5218664728,959894.1052690089,667.5578759553905
2021-03-01,960161.6868027032,960572.9232329084,958786.7303949064,960461.2062487252,960443.1860229092,960085.1465404304,663.2167331495028
2021-03-02,961644.0620445485,962131.880152672,960437.0461459222,961959.281579609,961956.6427221784,961625.782528986,614.8582304914239
2021-03-03,961248.4735531058,961716.5545188792,960011.5650204286,961558.1087920584,961555.9404430308,961218.1284655004,622.0688477365638
2021-03-04,954003.1431966516,954478.9504990956,952775.684102564,954338.949117077,954326.7381035268,953984.693003783,624.3117247947969
2021-03-05,946920.1837289516,947404.3930304518,945703.413864636,947282.7437794874,947264.1862720936,946914.9841351241,626.8396782940343
2021-03-08,950163.1514984112,950684.3008572971,948913.0990237014,950527.0255827396,950519.2935199004,950161.37409641,647.0631401528368
2021-03-09,944760.265889786,945302.203451292,943524.0987562868,945148.6804960396,945136.160936033,944774.2819058874,650.0748035606551
2021-03-10,954874.9864415184,955396.7844815252,953589.6958290216,955223.5632390148,955227.4653652812,954862.4990712723,658.6672386719692
2021-03-11,957613.365063967,958138.3212691726,956298.212961842,957953.49242913,957963.1620818198,957593.3107611863,669.5129232567728
2021-03-12,957888.2246196629,958448.6210587504,956633.4981254942,958236.8085655392,958253.320428554,957892.0945596002,654.6928407929508
2021-03-15,953085.3381348908,953696.5500389688,951883.3662008008,953460.4785083884,953487.2650918072,953122.5995949714,650.176901852753
2021-03-16,955980.0771211928,956591.4187231336,954762.843434416,956347.2935818768,956379.2519946782,956012.1769710595,654.8943287737123
2021-03-17,955394.6022943646,956008.7632865172,954178.5499186936,955763.5439850952,955796.1208699128,955428.3160709167,655.3822012657
2021-03-18,956181.1121579452,956813.573841467,954979.0947657204,956552.677821846,956594.318388006,956224.1553949969,654.8878411156711
2021-03-19,950313.440862924,950940.1193499188,949095.069914071,950700.7409659692,950733.958069982,950356.665832573,662.5175916631813
2021-03-22,951859.1718881916,952468.7742866686,950601.8235916842,952237.4668727756,952271.453967018,951887.7381212676,672.5389628090012
2021-03-23,955481.9413643016,956085.4179415092,954202.8017787748,955843.8654940712,955881.9577600758,955499.1968677465,676.7415295519726
2021-03-24,954693.3539428328,955266.9456839568,953373.7405100146,955049.1418985624,955076.9289358794,954692.0221942492,684.7033042890171
2021-03-25,955221.8250378802,955774.2144842902,953873.9004954684,955570.2672383088,955597.305319502,955207.5025150899,690.4210900851948
2021-03-26,953331.3362054506,953918.4645791592,951993.1574490796,953695.7049542164,953727.4507301544,953333.2227836121,696.4331435377071
2021-03-29,955441.7860476436,956025.2718988716,953986.3585072708,955764.8145779766,955810.4748980104,955405.7411859545,733.8266557412418
2021-03-30,951153.3345311828,951771.4200289104,949727.1633882608,951507.3343378614,951546.7509559554,951141.2006484341,734.2138656088214
2021-03-31,947474.9784833116,948097.5766072673,946023.6781425242,947847.5180946084,947873.3155676026,947463.4133790629,747.0864126254694
2021-04-01,949422.3792379176,950057.1973935062,947922.2166385676,949767.4894177052,949831.7470512592,949400.2059477912,766.5124505148362
2021-04-05,957192.5391064788,957806.9677308697,955643.6292843336,957506.368918636,957581.307984581,957146.1626049798,776.5977934210058
2021-04-06,959829.6659116488,960487.24863395,958222.8690142736,960152.7417904894,960235.5956445634,959785.624198985,809.1563403155847
2021-04-07,963150.6263673302,963793.6843726564,961476.7416955284,963464.95199104,963550.1335857976,963087.2276024704,831.1104729344551
2021-04-08,961604.8613827368,962264.9631340615,959918.3502589368,961928.5509314948,962013.7759747033,961546.1003363866,840.8062627574441
2021-04-09,967047.4745132253,967687.108776261,965326.3211790012,967346.5075687688,967437.640280623,966969.0104635758,846.4476179043274
2021-04-12,965657.7532348186,966329.406993326,963936.5148491675,965972.1223215532,966063.7882796295,965591.917135699,855.0790340229737
2021-04-13,964754.4866607606,965472.9059548893,963073.4976854082,965117.018399815,965203.0298851044,964724.1877171956,856.7240364847075
2021-04-14,968832.262276242,969576.9549356544,967178.4568866072,969220.7124336727,969309.4329243188,968823.5638912991,856.4865984309064
2021-04-15,966829.0116528682,967663.2725624504,965267.72396976,967312.8808209212,967396.6698867896,966893.9117785578,856.6114177899605
2021-04-16,975650.2809518856,976517.2747817565,974117.2734956658,976155.7133333188,976251.6274447883,975738.434001483,857.9061554530155
2021-04-19,975761.074107752,976632.1641628598,974212.1938757374,976254.090798769,976359.7875340696,975843.8620958375,863.1433052340118
2021-04-20,974801.2343196569,975669.5847110236,973245.799899028,975301.6442682558,975400.0169583372,974883.6560312603,865.8397901906864
2021-04-21,975183.237167304,976036.2666855135,973587.2643839208,975686.9110010564,975782.4314763964,975255.2221428383,878.8174385592183
2021-04-22,979393.7268546995,980257.9702322306,977735.4946534464,979887.7369283158,979995.5110905974,979454.087951858,903.8388748043466
2021-04-23,977261.327332986,978102.7268372336,975593.020277656,977757.8776232584,977854.0502505868,977313.8004643442,902.8086238908088
2021-04-26,978393.3226467132,979262.8424273338,976687.2680349604,978895.0322623018,978993.5494777092,978446.4029698039,923.5349663871115
2021-04-27,978600.6637232482,979478.6747883394,976893.7572903044,979103.6615313372,979207.2495719994,978656.8013810456,926.2428412657362
2021-04-28,975278.6273395672,976182.475024514,973508.750689744,975799.0179737158,975906.421641358,975335.0585337797,959.0009063856388
2021-04-29,976203.3880095287,977101.5517772592,974402.5957866096,976718.7291149212,976827.3867270144,976250.7302830666,968.844175685872
2021-04-30,975561.8747880288,976504.6302071842,973776.090624948,976106.5730070614,976217.4237673908,975633.3184789226,977.622878903122
2021-05-03,973305.3072570732,974243.511242972,971588.7239483972,973861.2764518108,973967.6551119612,973393.2948024429,952.468620003033
2021-05-04,976718.632751976,977648.8816094968,974902.4745906276,977258.8638630664,977375.8509754798,976780.9407581292,986.7286772454344
2021-05-05,975009.5343392852,975922.3694232692,973200.567638184,975553.4051107364,975660.3171348756,975069.23872927,980.5222086626284
2021-05-06,976414.737010114,977320.8815713116,974608.5505854402,976951.7506069464,977061.1123988744,976471.4064345373,977.0910903820007
2021-05-07,981843.3226944515,982749.2779071494,980002.7807923094,982359.9522965885,982485.8779686372,981888.2423318273,987.7291023386312
2021-05-10,984947.486401071,985865.4958068288,983089.5613231708,985454.6201484196,985590.660084101,984989.5647527182,995.6536496197776
2021-05-11,981222.4120025224,982139.7632512668,979385.6373699568,981738.5944473516,981876.2945770336,981272.5403296262,989.6177904744295
2021-05-12,978614.7547477972,979522.7744935484,976788.6650034732,979135.2426426532,979269.5233977096,978666.1920570362,984.4292013842781
2021-05-13,968758.1677417386,969661.3467076934,966983.9262311414,969309.0740509136,969432.4624354074,968828.995433379,969.2010594662602
2021-05-14,972521.07583267,973440.9288534732,970692.977294034,973064.6311054836,973196.0194003396,972583.1264972001,991.9499560101593
2021-05-17,979353.533265662,980286.8959465948,977492.907154895,979884.9057796712,980028.1544360542,979409.2793165755,1005.4877204073042
2021-05-18,980929.7520866308,981851.342264698,979069.3057433212,981448.9776480412,981600.7249150876,980980.0205315559,1001.7738457373894
2021-05-19,979568.0513848788,980453.0484685051,977731.7780496024,980066.2553684928,980214.6463654996,979606.7559273958,981.2157428486214
2021-05-20,978203.3008523938,979106.876645174,976371.4251845556,978722.3273443516,978872.1842990709,978255.2228651091,987.4747351994934
2021-05-21,983585.6173731054,984469.543077488,981704.7095492476,984069.9112070332,984224.4428379243,983610.8448089598,995.8509192846368
